
2024/01/23 (23:05:11) | ===> btop++ v.1.3.0
2024/06/28 (22:18:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (22:32:38) | ===> btop++ v.1.3.2
2024/06/28 (22:32:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (13:24:52) | ===> btop++ v.1.3.2
2024/06/29 (13:24:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (22:11:05) | ===> btop++ v.1.3.2
2024/06/29 (22:11:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (16:03:59) | ===> btop++ v.1.3.2
2024/06/30 (16:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (16:04:23) | ===> btop++ v.1.3.2
2024/06/30 (16:04:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (21:43:20) | ===> btop++ v.1.3.2
2024/07/01 (21:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (21:43:09) | ===> btop++ v.1.3.2
2024/07/02 (21:43:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (19:46:54) | ===> btop++ v.1.3.2
2024/07/20 (19:46:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (22:20:10) | ===> btop++ v.1.3.2
2024/07/21 (22:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (16:25:36) | ===> btop++ v.1.3.2
2024/07/23 (16:25:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (18:25:31) | ===> btop++ v.1.3.2
2024/07/23 (18:25:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (23:56:14) | ===> btop++ v.1.3.2
2024/07/23 (23:56:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (01:03:54) | ===> btop++ v.1.3.2
2024/07/25 (01:03:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (17:30:29) | ===> btop++ v.1.3.2
2024/07/31 (17:30:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (17:44:33) | ===> btop++ v.1.3.2
2024/07/31 (17:44:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (07:37:48) | ===> btop++ v.1.3.2
2024/08/07 (07:37:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:44:51) | ===> btop++ v.1.3.2
2024/08/07 (16:44:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:45:12) | ===> btop++ v.1.3.2
2024/08/07 (16:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:45:32) | ===> btop++ v.1.3.2
2024/08/07 (16:45:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:53:07) | ===> btop++ v.1.3.2
2024/08/07 (16:53:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:56:03) | ===> btop++ v.1.3.2
2024/08/07 (16:56:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (17:00:34) | ===> btop++ v.1.3.2
2024/08/07 (17:00:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (17:01:30) | ===> btop++ v.1.3.2
2024/08/07 (17:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (17:08:09) | ===> btop++ v.1.3.2
2024/08/07 (17:08:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (17:09:26) | ===> btop++ v.1.3.2
2024/08/07 (17:09:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (08:01:49) | ===> btop++ v.1.3.2
2024/08/15 (08:01:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (16:11:48) | ===> btop++ v.1.3.2
2024/08/15 (16:11:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (20:40:33) | ===> btop++ v.1.3.2
2024/08/16 (20:40:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (15:43:07) | ===> btop++ v.1.3.2
2024/08/17 (15:43:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (11:24:00) | ===> btop++ v.1.3.2
2024/08/18 (11:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (23:13:29) | ===> btop++ v.1.3.2
2024/08/18 (23:13:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (12:01:17) | ===> btop++ v.1.3.2
